director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,tmdb_ratings
Eric England,Sophie Turner,Dylan McDermott,Jack Kilmer,Comedy Music,josie,5.5
Max Winkler,Zoey Deutch,Kathryn Hahn,Tim Heidecker,Drama Comedy,flower,6.6
Steven S. DeKnight,John Boyega,Scott Eastwood,Cailee Spaeny,Action Fantasy Science Fiction Adventure,pacific rim: uprising,6.1
Wes Anderson,Bryan Cranston,Edward Norton,Bill Murray,Adventure Comedy Animation,isle of dogs,7.9
John Stevenson,James McAvoy,Emily Blunt,Johnny Depp,Animation Family Fantasy Comedy Adventure Mystery,sherlock gnomes,5.6
Steven Soderbergh,Claire Foy,Joshua Leonard,Jay Pharoah,Horror Thriller,unsane,6.2
Andrew Hyatt,James Faulkner,Jim Caviezel,Olivier Martinez,History Drama,"paul, apostle of christ",6.9
Stanley Tucci,Geoffrey Rush,Armie Hammer,Clémence Poésy,Drama History,final portrait,6.1
Scott Speer,Bella Thorne,Patrick Schwarzenegger,Rob Riggle,Romance Drama,midnight sun,7.8
Ryan Justice,Amanda Delaney,Justin Maina,Sean Michael Gloria,Thriller,followers,5.3
Steven Spielberg,Tye Sheridan,Olivia Cooke,Ben Mendelsohn,Adventure Science Fiction,ready player one,7.6
Tyler Perry,Taraji P. Henson,Lyriq Bent,Tika Sumpter,Thriller,tyler perry's acrimony,6.6
Michael Mason,David A. R. White,John Corbett,Shane Harper,Drama,god's not dead: a light in darkness,6.9
Aaron Katz,Lola Kirke,Zoë Kravitz,Greta Lee,Action Drama Science Fiction Thriller,gemini,6.4
Adam Rifkin,Burt Reynolds,Ariel Winter,Clark Duke,Drama,the last movie star,6.2
John Krasinski,John Krasinski,Emily Blunt,Millicent Simmonds,Horror Drama Science Fiction,a quiet place,7.3
Kay Cannon,Leslie Mann,Ike Barinholtz,John Cena,Comedy,blockers,6.3
Lynne Ramsay,Joaquin Phoenix,Ekaterina Samsonov,Alex Manette,Thriller Drama,you were never really here,6.6
John Curran,Jason Clarke,Kate Mara,Ed Helms,Drama Thriller History,chappaquiddick,6
"Drew Fellman, David Douglas",Kristen Bell,unknown,unknown,Documentary,pandas,8
Andrew Haigh,Charlie Plummer,Chloë Sevigny,Travis Fimmel,Drama Adventure,lean on pete,6.8
Sean McNamara,Helen Hunt,William Hurt,Erin Moriarty,Drama,the miracle season,7.2
Brad Anderson,Jon Hamm,Rosamund Pike,Dean Norris,Action Thriller Drama,beirut,6.2
Brad Peyton,Dwayne Johnson,Naomie Harris,Malin Åkerman,Action Adventure Science Fiction,rampage,6.4
Jeff Wadlow,Lucy Hale,Tyler Posey,Violett Beane,Thriller Horror,truth or dare,6
Chloé Zhao,Brady Jandreau,unknown,unknown,Drama Western,the rider,7.4
Richard Lanni,Logan Lerman,Helena Bonham Carter,Gérard Depardieu,Animation Adventure Family History War,sgt. stubby: an american hero,7.1
"Abby Kohn, Marc Silverstein",Amy Schumer,Michelle Williams,Emily Ratajkowski,Comedy Romance,i feel pretty,6.4
Jay Chandrasekhar,Jay Chandrasekhar,Paul Soter,Steve Lemme,Comedy Crime Mystery,super troopers 2,5.8
Deon Taylor,Paula Patton,Omar Epps,Missi Pyle,Thriller Horror,traffik,6.3
Peter Livolsi,Asa Butterfield,Nick Offerman,Ellen Burstyn,Drama,the house of tomorrow,6.4
Naoko Yamada,Atsumi Tanezaki,Nao Tōyama,unknown,Animation Drama Music,liz and the blue bird,7.2
